"rule_id","project_id","rule_order","rule_name","rule_logic","real_time_execute"
"1663","38","2","AEDECOD Coding","[ae_aedecod] = '' AND [ae_oth_aeterm] != ''","0"
"1152","36","2","AEDECOD Coding","[ae_aedecod] = '' AND [ae_oth_aeterm] != ''","0"
"643","28","2","Consent date cannot be in the future","[consent_suppie_consdtc] != '' AND rounddown(datediff('today', [consent_suppie_consdtc], 'd', true)) > 0","1"
"4","4","3","Interferon Start Dates Out of Sequence","[inter_start1_date] > [inter_start2_date] OR [inter_start2_date] > [inter_start3_date]","0"
"1060","31","3","MHMODIFY coding","[mh_mhmodify] = '' AND [mh_oth_mhterm] != ''","0"
"1891","37","3","Test T2 invitation logic","[t1_arm_1][informed_consent_complete] = '2' AND [enrollment_arm_1][dm_actarmcd] != '' AND [enrollment_arm_1][dm_suppdm_actarmdur] != '' AND datediff([t1_arm_1][t2_senddate], 'today', 'd', true) >= 0","0"
"103","21","3","Consent date cannot be after TX start date","[consent_suppie_consdtc] != '' AND [dm_rfstdtc] != '' AND ([consent_suppie_consdtc] > [dm_rfstdtc])","1"
"373","26","3","TX stop AEMODIFY coding","([ifn_aemodify] = '' AND [ifn_oth_suppcm_cmncmpae] != '') OR 
([rib_aemodify] = '' AND [rib_oth_suppcm_cmncmpae] != '') OR 
([boc_aemodify] = '' AND [boc_oth_suppcm_cmncmpae] != '') OR 
([tvr_aemodify] = '' AND [tvr_oth_suppcm_cmncmpae] != '') OR 
([sim_aemodify] = '' AND [sim_oth_suppcm_cmncmpae] != '') OR 
([sof_aemodify] = '' AND [sof_oth_suppcm_cmncmpae] != '') OR 
([dcv_aemodify] = '' AND [dcv_oth_suppcm_cmncmpae] != '') OR 
([hvn_aemodify] = '' AND [hvn_oth_suppcm_cmncmpae] != '') OR 
([vpk_aemodify] = '' AND [vpk_oth_suppcm_cmncmpae] != '') OR 
([dbv_aemodify] = '' AND [dbv_oth_suppcm_cmncmpae] != '')","0"
"1664","38","3","TX stop AEMODIFY coding","([rbv_aemodify] = '' AND [rbv_oth_suppex_exncmpae] != '') OR 
([hvn_aemodify] = '' AND [hvn_oth_suppex_exncmpae] != '') OR 
([vpk_aemodify] = '' AND [vpk_oth_suppex_exncmpae] != '') OR 
([dbv_aemodify] = '' AND [dbv_oth_suppex_exncmpae] != '') OR
([zep_aemodify] = '' AND [zep_oth_suppex_exncmpae] != '')","0"
"1153","36","3","TX stop AEMODIFY coding","([ifn_aemodify] = '' AND [ifn_oth_suppcm_cmncmpae] != '') OR 
([rib_aemodify] = '' AND [rib_oth_suppcm_cmncmpae] != '') OR 
([boc_aemodify] = '' AND [boc_oth_suppcm_cmncmpae] != '') OR 
([tvr_aemodify] = '' AND [tvr_oth_suppcm_cmncmpae] != '') OR 
([sim_aemodify] = '' AND [sim_oth_suppcm_cmncmpae] != '') OR 
([sof_aemodify] = '' AND [sof_oth_suppcm_cmncmpae] != '') OR 
([dcv_aemodify] = '' AND [dcv_oth_suppcm_cmncmpae] != '') OR 
([hvn_aemodify] = '' AND [hvn_oth_suppcm_cmncmpae] != '') OR 
([vpk_aemodify] = '' AND [vpk_oth_suppcm_cmncmpae] != '') OR 
([dbv_aemodify] = '' AND [dbv_oth_suppcm_cmncmpae] != '')","0"
"644","28","3","Consent date cannot be after TX start date","[consent_suppie_consdtc] != '' AND [dm_rfstdtc] != '' AND ([consent_suppie_consdtc] > [dm_rfstdtc])","1"
"1050","26","4","TX stop AEDECOD coding","([ifn_aedecod] = '' AND [ifn_oth_suppcm_cmncmpae] != '') OR 
([rib_aedecod] = '' AND [rib_oth_suppcm_cmncmpae] != '') OR 
([boc_aedecod] = '' AND [boc_oth_suppcm_cmncmpae] != '') OR 
([tvr_aedecod] = '' AND [tvr_oth_suppcm_cmncmpae] != '') OR 
([sim_aedecod] = '' AND [sim_oth_suppcm_cmncmpae] != '') OR 
([sof_aedecod] = '' AND [sof_oth_suppcm_cmncmpae] != '') OR 
([dcv_aedecod] = '' AND [dcv_oth_suppcm_cmncmpae] != '') OR 
([hvn_aedecod] = '' AND [hvn_oth_suppcm_cmncmpae] != '') OR 
([vpk_aedecod] = '' AND [vpk_oth_suppcm_cmncmpae] != '') OR 
([dbv_aedecod] = '' AND [dbv_oth_suppcm_cmncmpae] != '')","0"
"1892","37","4","Test T3 invitation logic","[t1_arm_1][informed_consent_complete] = '2' AND [enrollment_arm_1][dm_actarmcd] != '' AND [enrollment_arm_1][dm_suppdm_actarmdur] != '' AND datediff([t1_arm_1][t3_senddate], 'today', 'd', true) >= 0","0"
"104","21","4","Consent date cannot be after EOT date","[consent_suppie_consdtc] != '' AND ([eot_dsstdtc] != '' OR [dis_dsstdtc] != '') AND ([consent_suppie_consdtc] > [eot_dsstdtc] OR [consent_suppie_consdtc] > [dis_dsstdtc])","1"
"645","28","4","Consent date cannot be after EOT date","[consent_suppie_consdtc] != '' AND ([eot_dsstdtc] != '' OR [dis_dsstdtc] != '') AND ([consent_suppie_consdtc] > [eot_dsstdtc] OR [consent_suppie_consdtc] > [dis_dsstdtc])","1"
"962","31","4","MHDECOD coding","[mh_mhdecod] = '' AND [mh_oth_mhterm] != ''","0"
"1785","38","4","TX stop AEDECOD coding","([rbv_aedecod] = '' AND [rbv_oth_suppex_exncmpae] != '') OR 
([hvn_aedecod] = '' AND [hvn_oth_suppex_exncmpae] != '') OR 
([vpk_aedecod] = '' AND [vpk_oth_suppex_exncmpae] != '') OR 
([dbv_aedecod] = '' AND [dbv_oth_suppex_exncmpae] != '') OR
([zep_aedecod] = '' AND [zep_oth_suppex_exncmpae] != '')","0"
"1274","36","4","TX stop AEDECOD coding","([ifn_aedecod] = '' AND [ifn_oth_suppcm_cmncmpae] != '') OR 
([rib_aedecod] = '' AND [rib_oth_suppcm_cmncmpae] != '') OR 
([boc_aedecod] = '' AND [boc_oth_suppcm_cmncmpae] != '') OR 
([tvr_aedecod] = '' AND [tvr_oth_suppcm_cmncmpae] != '') OR 
([sim_aedecod] = '' AND [sim_oth_suppcm_cmncmpae] != '') OR 
([sof_aedecod] = '' AND [sof_oth_suppcm_cmncmpae] != '') OR 
([dcv_aedecod] = '' AND [dcv_oth_suppcm_cmncmpae] != '') OR 
([hvn_aedecod] = '' AND [hvn_oth_suppcm_cmncmpae] != '') OR 
([vpk_aedecod] = '' AND [vpk_oth_suppcm_cmncmpae] != '') OR 
([dbv_aedecod] = '' AND [dbv_oth_suppcm_cmncmpae] != '')","0"
"1061","31","5","TX Stop AEMODIFY coding","([rbv_aemodify] = '' AND [rbv_oth_suppcm_cmncmpae] != '') OR ([dcv_aemodify] = '' AND [dcv_oth_suppex_exncmpae] != '') OR ([sof_aemodify] = '' AND [sof_oth_suppex_exncmpae] != '')","0"
"1893","37","5","Test T4 invitation logic","[t1_arm_1][informed_consent_complete] = '2' AND [enrollment_arm_1][dm_actarmcd] != '' AND [enrollment_arm_1][dm_suppdm_actarmdur] != '' AND datediff([t1_arm_1][t4_senddate], 'today', 'd', true) >= 0","0"
"120","21","5","SOF start date cannot be in the future.","[baseline_arm_1][sof_cmstdtc] != '' AND rounddown(datediff('today', [baseline_arm_1][sof_cmstdtc], 'd', true)) > 0","1"
"379","26","5","EOT AEMODIFY coding","[eot_aemodify] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1665","38","5","EOT AEMODIFY coding","[eot_aemodify] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1154","36","5","EOT AEMODIFY coding","[eot_aemodify] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"646","28","5","SOF start date cannot be in the future.","[baseline_arm_1][sof_cmstdtc] != '' AND rounddown(datediff('today', [baseline_arm_1][sof_cmstdtc], 'd', true)) > 0","1"
"788","31","6","TX stop AEDECOD coding","([rbv_aedecod] = '' AND [rbv_oth_suppcm_cmncmpae] != '') OR ([dcv_aedecod] = '' AND [dcv_oth_suppex_exncmpae] != '') OR ([sof_aedecod] = '' AND [sof_oth_suppex_exncmpae] != '')","0"
"1051","26","6","EOT AEDECOD coding","[eot_aedecod] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1894","37","6","Test T5 invitation logic","[t1_arm_1][informed_consent_complete] = '2' AND [enrollment_arm_1][dm_actarmcd] != '' AND [enrollment_arm_1][dm_suppdm_actarmdur] != '' AND datediff([t1_arm_1][t5_senddate], 'today', 'd', true) >= 0","0"
"121","21","6","SOF start date cannot be after SOF stop date.","[baseline_arm_1][sof_cmstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] != '' AND [baseline_arm_1][sof_cmstdtc] > [wk_12eot_arm_1][sof_cmendtc]","1"
"647","28","6","SOF start date cannot be after SOF stop date.","[baseline_arm_1][sof_cmstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] != '' AND [baseline_arm_1][sof_cmstdtc] > [wk_12eot_arm_1][sof_cmendtc]","1"
"1786","38","6","EOT AEDECOD coding","[eot_aedecod] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1275","36","6","EOT AEDECOD coding","[eot_aedecod] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1792","38","7","MHMODIFY coding","([1_arm_1][othca_oth_mhterm] != '' AND [1_arm_1][othca_mhmodify] = '') OR ([1_arm_1][othpsy_oth_mhterm] != '' AND [1_arm_1][othpsy_mhmodify] = '')","0"
"1281","36","7","MHMODIFY coding","([1_arm_1][othca_oth_mhterm] != '' AND [1_arm_1][othca_mhmodify] = '') OR ([1_arm_1][othpsy_oth_mhterm] != '' AND [1_arm_1][othpsy_mhmodify] = '')","0"
"1062","31","7","EOT AEMODIFY coding","[eot_aemodify] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1064","26","7","MHMODIFY coding","([1_arm_1][othca_oth_mhterm] != '' AND [1_arm_1][othca_mhmodify] = '') OR ([1_arm_1][othpsy_oth_mhterm] != '' AND [1_arm_1][othpsy_mhmodify] = '')","0"
"1895","37","7","wtf","datediff([t1_arm_1][t4_senddate], 'today', 'd', true) >= 0","0"
"122","21","7","SOF start date cannot be prior to TX start.","[baseline_arm_1][sof_cmstdtc] != '' AND [baseline_arm_1][dm_rfstdtc] != '' AND [baseline_arm_1][sof_cmstdtc] < [baseline_arm_1][dm_rfstdtc]","1"
"648","28","7","SOF start date cannot be prior to TX start.","[baseline_arm_1][sof_cmstdtc] != '' AND [baseline_arm_1][dm_rfstdtc] != '' AND [baseline_arm_1][sof_cmstdtc] < [baseline_arm_1][dm_rfstdtc]","1"
"789","31","8","EOT AEDECOD coding","[eot_aedecod] = '' AND [eot_oth_suppds_ncmpae] != ''","0"
"1898","37","8","Test one week logic","(([t1_arm_1][informed_consent_complete] != '2' OR [t1_arm_1][consent_nxfile] = '') OR ([t1_arm_1][clinical_and_lab_data_complete] != '2')) AND ([t1_arm_1][consent_dssstdtc] != '' AND datediff([t1_arm_1][consent_dssstdtc], 'today', 'd', true) >= 7)","0"
"123","21","8","SOF start date cannot be after EOT date.","[baseline_arm_1][sof_cmstdtc] != '' AND [wk_12eot_arm_1][eot_dsstdtc] != '' AND [baseline_arm_1][sof_cmstdtc] > [wk_12eot_arm_1][eot_dsstdtc]","1"
"380","26","8","ConMed Coding","[cm_cmdecod] = '' AND [cm_cmtrt] != ''","0"
"1666","38","8","ConMed Coding","[cm_cmdecod] = '' AND [cm_cmtrt] != ''","0"
"1155","36","8","ConMed Coding","[cm_cmdecod] = '' AND [cm_cmtrt] != ''","0"
"649","28","8","SOF start date cannot be after EOT date.","[baseline_arm_1][sof_cmstdtc] != '' AND [wk_12eot_arm_1][eot_dsstdtc] != '' AND [baseline_arm_1][sof_cmstdtc] > [wk_12eot_arm_1][eot_dsstdtc]","1"
"790","31","9","ConMed Coding","[cm_cmdecod] = '' AND [cm_cmtrt] != ''","0"
"124","21","9","SOF status = Complete but does not match EOT TX status.","[wk_12eot_arm_1][sof_suppcm_cmtrtout] = 'COMPLETE' AND [wk_12eot_arm_1][eot_dsncomplt] != '' AND [wk_12eot_arm_1][sof_suppcm_cmtrtout] != [wk_12eot_arm_1][eot_dsncomplt]","1"
"1917","37","9","Test date logic","datediff([t1_arm_1][t2_startdate], 'today', 'd', true) >= 0 AND datediff([t1_arm_1][t2_deadline], 'today', 'd', true) <= 0 AND [enrollment_arm_1][dm_suppdm_actarmdur] = '12'","0"
"1669","38","9","ConMed Indication coding","[cm_oth_cmindc] != '' AND [cm_oth_cmindc] != 'Not specified' AND [cm_suppcm_indcod] = ''","0"
"1158","36","9","ConMed Indication coding","[cm_oth_cmindc] != '' AND [cm_oth_cmindc] != 'Not specified' AND [cm_suppcm_indcod] = ''","0"
"650","28","9","SOF status = Complete but does not match EOT TX status.","[wk_12eot_arm_1][sof_suppcm_cmtrtout] = 'COMPLETE' AND [wk_12eot_arm_1][eot_dsncomplt] != '' AND [wk_12eot_arm_1][sof_suppcm_cmtrtout] != [wk_12eot_arm_1][eot_dsncomplt]","1"
"707","26","9","ConMed Indication coding","[cm_oth_cmindc] != '' AND [cm_oth_cmindc] != 'Not specified' AND [cm_suppcm_indcmodf] = ''","0"
"794","31","10","ConMed Indication coding","([cm_cmindc] != '' AND [cm_suppcm_indcmodf] = '')","0"
"127","21","10","SOF status = Ongoing but EOT is complete.","[wk_12eot_arm_1][sof_suppcm_cmtrtout] = 'ONGOING' AND [wk_12eot_arm_1][early_discontinuation_eot_complete] = '2'","1"
"651","28","10","SOF status = Ongoing but EOT is complete.","[wk_12eot_arm_1][sof_suppcm_cmtrtout] = 'ONGOING' AND [wk_12eot_arm_1][early_discontinuation_eot_complete] = '2'","1"
"1712","38","10","ConMed ATC coding","[cm_cmdecod] != '' AND ([cm_suppcm_atcname] = '' OR [cm_suppcm_atc2name] = '')","0"
"1201","36","10","ConMed ATC coding","[cm_cmdecod] != '' AND ([cm_suppcm_atcname] = '' OR [cm_suppcm_atc2name] = '')","0"
"951","26","10","ConMed ATC coding","[cm_cmdecod] != '' AND ([cm_suppcm_atcname] = '' OR [cm_suppcm_atc2name] = '')","0"
"769","31","11","SAE 'Results in Death' and Outcome 'Fatal' must match.","[ae_aesdth] != '' AND [ae_aeout] != '' AND (([ae_aesdth] = 'Y' AND [ae_aeout] != 'FATAL') OR ([ae_aesdth] = 'N' AND [ae_aeout] = 'FATAL'))","0"
"1041","26","11","Transfusion coding","[xfsn_cmtrt] != '' AND [xfsn_cmdecod] = ''","0"
"128","21","11","SOF stop date cannot be in the future.","[wk_12eot_arm_1][sof_cmendtc] != '' AND rounddown(datediff('today', [wk_12eot_arm_1][sof_cmendtc], 'd', true)) > 0","1"
"652","28","11","SOF stop date cannot be in the future.","[wk_12eot_arm_1][sof_cmendtc] != '' AND rounddown(datediff('today', [wk_12eot_arm_1][sof_cmendtc], 'd', true)) > 0","1"
"1776","38","11","Transfusion coding","[xfsn_cmtrt] != '' AND [xfsn_cmdecod] = ''","0"
"1265","36","11","Transfusion coding","[xfsn_cmtrt] != '' AND [xfsn_cmdecod] = ''","0"
"772","31","12","TX stop date cannot be prior to TX start date","[dis_suppfa_txendt] != '' AND [dm_rfstdtc] != '' AND [dis_suppfa_txendt] < [dm_rfstdtc]","0"
"129","21","12","SOF stop date cannot be prior to TX start date.","[wk_12eot_arm_1][sof_cmendtc] != '' AND [baseline_arm_1][dm_rfstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] < [baseline_arm_1][dm_rfstdtc]","1"
"653","28","12","SOF stop date cannot be prior to TX start date.","[wk_12eot_arm_1][sof_cmendtc] != '' AND [baseline_arm_1][dm_rfstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] < [baseline_arm_1][dm_rfstdtc]","1"
"1751","38","12","Please revise TX stop date or EOT date. These should have the same date.","[eot_dsstdtc] != '' AND [dm_rfendtc] != '' AND [eot_dsstdtc] != [dm_rfendtc]","0"
"1240","36","12","Please revise TX stop date or EOT date. These should have the same date.","[eot_dsstdtc] != '' AND [dis_suppfa_txendt] != '' AND [eot_dsstdtc] != [dis_suppfa_txendt]","0"
"999","26","12","Please revise TX stop date or EOT date. These should have the same date.","[eot_dsstdtc] != '' AND [dis_suppfa_txendt] != '' AND [eot_dsstdtc] != [dis_suppfa_txendt]","0"
"773","31","13","WBC value/units out of range (0.5 - 24) 10^3/uL","[wbc_lborres] != '' AND [wbc_lbstresn] != '' AND (([wbc_lbstresn] < 0.5 OR [wbc_lbstresn] > 24) OR (([wbc_lbstresn] < 1 OR [wbc_lbstresn] > 12) AND [wbc_lborres] != [wbc_lbstresn]))","0"
"1802","38","13","Please complete EOT form. TX is complete.","[eot_dsstdtc] = '' AND [dm_rfendtc] != ''","0"
"1291","36","13","Please complete EOT form. TX is complete.","[eot_dsstdtc] = '' AND [dis_suppfa_txendt] != ''","0"
"1084","26","13","EOT form / TX form mismatched date","([1_arm_1][eot_dsstdtc] = '' AND [1_arm_1][dis_suppfa_txendt] != '') OR ([1_arm_1][eot_dsstdtc] != '' AND [1_arm_1][dis_suppfa_txendt] = '' AND [1_arm_1][dm_actarmcd] != 'SCRNFAIL' AND [1_arm_1][dm_actarmcd] != 'NOTTRT')","0"
"130","21","13","SOF stop date cannot be after EOT date.","[wk_12eot_arm_1][sof_cmendtc] != '' AND [wk_12eot_arm_1][eot_dsstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] > [wk_12eot_arm_1][eot_dsstdtc]","1"
"654","28","13","SOF stop date cannot be after EOT date.","[wk_12eot_arm_1][sof_cmendtc] != '' AND [wk_12eot_arm_1][eot_dsstdtc] != '' AND [wk_12eot_arm_1][sof_cmendtc] > [wk_12eot_arm_1][eot_dsstdtc]","1"
"774","31","14","NEUT% value/units out of range (12.5 - 100) %","[neut_lborres] != '' AND [neut_lbstresn] != '' AND (([neut_lbstresn] < 12.5 OR [neut_lbstresn] > 100) OR (([neut_lbstresn] < 25 OR [neut_lbstresn] > 80) AND [neut_lborres] != [neut_lbstresn]))","0"
"1039","26","14","Please enter this Immunosuppressant initial dosage.","[cm_cmtrt] != '' AND [imminit_cmdose] = '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"131","21","14","SOF discon reason (Lack of Efficacy) doesn't match TVR.","([sof_suppcm_cmadj] = 'LACK_OF_EFFICACY' AND [tvr_suppcm_cmadj] != '') AND ([sof_suppcm_cmadj] != [tvr_suppcm_cmadj])","1"
"655","28","14","SOF discon reason (Lack of Efficacy) doesn't match TVR.","([sof_suppcm_cmadj] = 'LACK_OF_EFFICACY' AND [tvr_suppcm_cmadj] != '') AND ([sof_suppcm_cmadj] != [tvr_suppcm_cmadj])","1"
"1774","38","14","OLT: Please enter this Immunosuppressant initial dosage.","[cm_cmtrt] != '' AND [imminit_cmdose] = '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"1263","36","14","OLT: Please enter this Immunosuppressant initial dosage.","[cm_cmtrt] != '' AND [imminit_cmdose] = '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"775","31","15","ANC value/units out of range (0.175 - 16) 10^3/uL","[anc_lborres] != '' AND [anc_lbstresn] != '' AND (([anc_lbstresn] < .175 OR [anc_lbstresn] > 16) OR (([anc_lbstresn] < .35 OR [anc_lbstresn] > 8) AND [anc_lborres] != [anc_lbstresn]))","0"
"1040","26","15","This subject has completed treatment. Please enter final Immunosuppressant dosage.","[cm_cmtrt] != '' AND [immfinl_cmdose] = '' AND [1_arm_1][eot_dsstdtc] != '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"133","21","15","SOF discon reason (Lack of Efficacy) doesn't match EOT.","([sof_suppcm_cmadj] = 'LACK_OF_EFFICACY' AND [eot_dsncomplt] != '') AND ([sof_suppcm_cmadj] != [eot_dsncomplt])","1"
"656","28","15","SOF discon reason (Lack of Efficacy) doesn't match EOT.","([sof_suppcm_cmadj] = 'LACK_OF_EFFICACY' AND [eot_dsncomplt] != '') AND ([sof_suppcm_cmadj] != [eot_dsncomplt])","1"
"1775","38","15","OLT: This subject has completed treatment. Please enter final Immunosuppressant dosage.","[cm_cmtrt] != '' AND [immfinl_cmdose] = '' AND [1_arm_1][eot_dsstdtc] != '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"1264","36","15","OLT: This subject has completed treatment. Please enter final Immunosuppressant dosage.","[cm_cmtrt] != '' AND [immfinl_cmdose] = '' AND [1_arm_1][eot_dsstdtc] != '' AND [cm_suppcm_cmimmuno] = 'Y' AND ([1_arm_1][livtrp_ceoccur] = 'Y' OR 
[1_arm_1][kdne_mhoccur] = 'Y' OR
[1_arm_1][livr_mhoccur] = 'Y' OR
[1_arm_1][heart_mhoccur] = 'Y' OR
[1_arm_1][lung_mhoccur] = 'Y')","0"
"1045","26","16","Please verify: Alternating immunosuppressant dosage incomplete","([imminit_cmdosrgm] = 'ALTERNATING' AND [imminit_cmdose] != '' AND [imminitalt_cmdose] = '') OR ([immfinl_cmdosrgm] = 'ALTERNATING' AND [immfinl_cmdose] != '' AND [immfinlalt_cmdose] = '')","0"
"816","31","16","LYM% value/units out of range (5 - 100) %","[lymce_lborres] != '' AND [lymce_lbstresn] != '' AND (([lymce_lbstresn] < 5 OR [lymce_lbstresn] > 100) OR (([lymce_lbstresn] < 10 OR [lymce_lbstresn] > 60) AND [lymce_lborres] != [lymce_lbstresn]))","0"
"134","21","16","SOF discon reason (Adverse Event) doesn't match EOT.","([sof_suppcm_cmadj] = 'ADVERSE_EVENT' AND [eot_dsncomplt] != '') AND ([sof_suppcm_cmadj] != [eot_dsncomplt])","1"
"657","28","16","SOF discon reason (Adverse Event) doesn't match EOT.","([sof_suppcm_cmadj] = 'ADVERSE_EVENT' AND [eot_dsncomplt] != '') AND ([sof_suppcm_cmadj] != [eot_dsncomplt])","1"
"1780","38","16","Please verify: Alternating immunosuppressant dosage incomplete","([imminit_cmdosrgm] = 'ALTERNATING' AND [imminit_cmdose] != '' AND [imminitalt_cmdose] = '') OR ([immfinl_cmdosrgm] = 'ALTERNATING' AND [immfinl_cmdose] != '' AND [immfinlalt_cmdose] = '')","0"
"1269","36","16","Please verify: Alternating immunosuppressant dosage incomplete","([imminit_cmdosrgm] = 'ALTERNATING' AND [imminit_cmdose] != '' AND [imminitalt_cmdose] = '') OR ([immfinl_cmdosrgm] = 'ALTERNATING' AND [immfinl_cmdose] != '' AND [immfinlalt_cmdose] = '')","0"
"776","31","17","LYM abs value/units out of range (0.2 - 10) 10^3/uL","[lym_lborres] != '' AND [lym_lbstresn] != '' AND (([lym_lbstresn] < .2 OR [lym_lbstresn] > 10) OR (([lym_lbstresn] < .4 OR [lym_lbstresn] > 5) AND [lym_lborres] != [lym_lbstresn]))","0"
"1044","26","17","Please verify and/or revise: Subject was given immunosuppressant for transplant, but no transplant (history or on-treatment) is recorded.","[cm_cmtrt] != '' AND
([cm_suppcm_indcod] = 'Liver transplant rejection' OR 
[cm_suppcm_indcod] = 'Liver transplant' OR 
[cm_suppcm_indcod] = 'Liver transplantation' OR 
[cm_suppcm_indcod] = 'Transplant' OR
[cm_suppcm_indcod] = 'Transplant rejection' OR 
[cm_suppcm_indcod] = 'Heart transplant' OR 
[cm_suppcm_indcod] = 'Heart transplant rejection' OR 
[cm_suppcm_indcod] = 'Kidney transplant rejection' OR
[cm_suppcm_indcod] = 'Kidney transplant' OR
[cm_suppcm_indcod] = 'Renal transplant' OR
[cm_suppcm_indcod] = 'Corneal transplant' OR
[cm_suppcm_indcod] = 'Multiple organ transplant rejection' OR
[cm_suppcm_indcod] = 'Graft versus host disease' OR
[cm_suppcm_indcod] = 'Immunosuppression' OR 
[cm_suppcm_indcod] = 'Immunosuppressant drug therapy' OR
[cm_suppcm_indcod] = 'Prophylaxis against multiple organ transplant rejection' OR
[cm_suppcm_indcod] = 'Prophylaxis against liver transplant rejection' OR 
[cm_suppcm_indcod] = 'Prophylaxis against renal transplant rejection' OR
[cm_suppcm_indcod] = 'Prophylaxis against transplant rejection') AND
([1_arm_1][livtrp_ceoccur] != 'Y' AND 
[1_arm_1][kdne_mhoccur] != 'Y' AND
[1_arm_1][livr_mhoccur] != 'Y' AND
[1_arm_1][heart_mhoccur] != 'Y' AND
[1_arm_1][lung_mhoccur] != 'Y') AND
[cm_suppcm_cmimmuno] = 'Y'","0"
"135","21","17","SOF discon reason (Other) doesn't match TVR.","([sof_oth_suppcm_cmadj] != '' AND [tvr_oth_suppcm_cmadj] != '') AND ([sof_oth_suppcm_cmadj] != [tvr_oth_suppcm_cmadj])","1"
